"id","time","X_present","X_past","Y_past","Y1","Y2","Y3","Y4"
1,2,-1.98225328747122,-0.527742822713063,2,0,1,0,0
2,2,-0.120754394576843,-0.379373140591604,2,0,1,0,0
3,2,-0.455647476028028,0.825968381578101,3,0,0,1,0
4,2,2.14270704043126,-0.0944895917510731,4,0,0,0,1
5,2,-0.53999974681259,-0.83449085280786,4,0,0,0,1
6,2,0.704770717675403,0.858326534883988,3,0,0,1,0
7,2,0.0551759460651962,-0.480776446605362,3,0,0,1,0
8,2,0.43235451449974,1.28970720692045,3,0,0,1,0
9,2,-2.39373230548576,-0.729391206539257,4,0,0,0,1
10,2,1.49447681528643,-0.793950756394093,4,0,0,0,1
11,2,-0.105253898232699,-0.728694040867886,3,0,0,1,0
12,2,-0.616218922227773,0.356251649598027,1,1,0,0,0
13,2,0.275231250770717,1.20508578286412,3,0,0,1,0
14,2,1.47665858045509,0.165674451134052,4,0,0,0,1
15,2,0.441244571835483,0.972077876017467,4,0,0,0,1
16,2,0.706258630775771,1.05532600354558,1,1,0,0,0
18,2,-0.900680216847283,0.848623345824094,2,0,1,0,0
19,2,-0.871656413772558,-0.324499534199472,1,1,0,0,0
20,2,0.383353633724136,2.09994053475276,2,0,1,0,0
21,2,0.401622030143605,0.260281843488136,2,0,1,0,0
22,2,-0.317118976060137,-0.545479223751057,4,0,0,0,1
23,2,-0.231975637437065,0.300431510494805,4,0,0,0,1
24,2,0.464563797093486,-0.532904088052191,1,1,0,0,0
25,2,-1.00964715664653,-1.32415818167922,1,1,0,0,0
26,2,0.559314154838174,0.249780293713457,2,0,1,0,0
27,2,-0.551299894527514,0.23285893913274,2,0,1,0,0
28,2,-0.555538020181236,0.854001129698733,1,1,0,0,0
29,2,-0.816049691668766,-0.644954535830974,4,0,0,0,1
30,2,0.521912102486238,-0.605115067652354,1,1,0,0,0
31,2,-0.25124224253125,-0.690750823593307,3,0,0,1,0
32,2,-0.0551632266154898,-1.10570969184958,2,0,1,0,0
33,2,0.785552044577519,2.5913542534138,2,0,1,0,0
34,2,-0.551907340714859,0.271533521285247,1,1,0,0,0
35,2,0.246274962612152,-0.653126324454709,1,1,0,0,0
36,2,0.657379056315381,0.424322905274955,1,1,0,0,0
37,2,-0.811195127022445,1.22952826424725,3,0,0,1,0
38,2,-1.16107701617438,0.677596786567671,1,1,0,0,0
39,2,1.32429304968454,0.816649644994493,3,0,0,1,0
40,2,0.162856952857194,0.380745482406847,1,1,0,0,0
41,2,-1.1640180293589,-1.60714489910058,4,0,0,0,1
42,2,-0.00111148426634328,-0.759893320743616,1,1,0,0,0
43,2,0.572760663934836,0.959842772867827,2,0,1,0,0
44,2,-0.0362073816388798,-0.29808494959682,3,0,0,1,0
45,2,0.547664647680291,0.159201461943348,1,1,0,0,0
46,2,-1.5386120884852,0.354924505123012,3,0,0,1,0
47,2,-0.495972832062363,-1.02142167651945,1,1,0,0,0
48,2,0.0572920472969693,0.390112789938055,3,0,0,1,0
